stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
2225,44,140,82,23,112,39,751,58,225,public_transport,
2226,30,120,77,24,101,32,589,50,178,public_transport,
2227,46,144,87,28,77,38,851,65,241,public_transport,
2228,46,149,95,25,98,41,860,69,245,public_transport,
2229,22,104,64,26,60,25,484,47,146,public_transport,
223,3,46,22,8,100,18,71,80,35,public_transport,
2230,40,136,77,23,93,36,736,54,219,public_transport,
2232,29,104,58,21,58,26,603,34,175,public_transport,
2233,22,142,99,31,72,41,529,93,211,public_transport,
2234,27,135,82,29,75,38,597,79,203,public_transport,
2236,21,136,91,29,83,33,543,87,192,public_transport,
2238,19,123,86,26,77,32,438,84,172,public_transport,
2239,12,102,76,21,70,28,297,98,143,public_transport,
224,2,49,49,5,93,15,96,53,84,public_transport,
2240,16,104,79,23,68,28,358,91,154,public_transport,
2241,11,81,50,21,58,21,182,79,97,public_transport,
2242,13,100,76,22,64,25,307,84,139,public_transport,
2243,10,70,37,21,66,16,142,84,79,public_transport,
2244,12,87,62,19,60,23,238,81,119,public_transport,
2246,22,40,76,5,41,27,468,24,87,public_transport,
2248,60,76,136,6,79,47,1001,45,134,public_transport,
225,2,21,9,3,61,8,32,34,14,public_transport,
2250,54,67,126,6,46,47,962,34,118,public_transport,
2252,33,46,83,4,39,34,711,25,85,public_transport,
2253,47,88,128,7,110,40,822,68,144,public_transport,
2254,52,97,145,8,110,46,957,68,159,public_transport,
2255,3,54,39,3,101,11,86,45,34,public_transport,
2256,3,49,40,3,96,13,85,43,37,public_transport,
2257,4,65,54,4,108,16,96,52,64,public_transport,
2258,3,53,36,3,103,12,81,40,31,public_transport,
2259,15,78,83,4,118,20,164,73,93,public_transport,
226,2,63,60,5,107,19,127,72,101,public_transport,
2260,3,55,38,3,101,12,81,44,33,public_transport,
2261,1,16,14,1,53,5,20,20,18,public_transport,
2262,15,98,92,5,162,24,178,84,111,public_transport,
2263,2,33,30,2,41,9,67,36,51,public_transport,
2264,2,55,41,3,63,16,108,53,65,public_transport,
2265,2,38,37,2,37,14,84,40,67,public_transport,
2266,2,34,29,2,49,10,76,39,48,public_transport,
2267,2,18,11,1,57,6,27,21,9,public_transport,
2268,2,37,33,3,42,12,75,38,60,public_transport,
2269,5,64,62,4,103,25,140,68,120,public_transport,
227,1,45,42,5,79,17,88,54,56,public_transport,
2270,2,47,44,2,44,14,102,43,79,public_transport,
2271,3,74,75,6,133,29,163,80,151,public_transport,
2272,3,51,57,3,69,15,122,46,95,public_transport,
2273,4,87,88,6,169,32,191,101,178,public_transport,
