stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
1744,3.135,0.094,40,0.622,9.367,6.185,1,28,17,5,103,10,60,34,57,2,21,11,4,63,5,27,25,25,3.003,0.13199999999999967,3382,Ruber Internacional,40.48955,-3.71425,692,0.00047038481524341673,0.0009713453132588635,0.08318519715578539,0.00021041940794064618
1745,3.277,0.1127,36,0.667,9.609,6.358,2,18,14,7,72,4,40,26,42,1,13,6,4,52,4,18,26,14,3.101,0.17600000000000016,3383,Cerro Del Castañar,40.49193,-3.71338,688,0.0012831196375651566,0.0014570179698882952,0.08885340698226384,0.000752796510545824
1746,3.033,0.3254,33,0.784,9.602,6.355,1,23,16,5,66,5,32,28,40,1,12,5,4,52,4,18,26,14,3.058,-0.02499999999999991,3384,Cerro Del Castañar,40.49185,-3.71348,688,0.0012831196375651566,0.0014570179698882952,0.08885340698226384,0.000752796510545824
1748,2.746,0.3659,31,0.711,9.844,6.574,1,17,14,4,48,5,26,27,37,1,8,5,4,42,3,15,21,10,2.983,-0.2370000000000001,3385,Moralzarzal,40.49401,-3.7139,686,0.0012146861512075825,0.0009713453132588635,0.08816476834803459,0.0
1749,3.893,0.2914,45,1.091,9.716,6.374,4,25,18,8,100,5,51,31,51,1,10,6,4,39,3,14,21,11,2.953,0.94,3386,La Masó - Moralzarzal,40.49328,-3.71103,687,0.005851403759791675,0.001942690626517727,0.09611165569714793,0.0024349781452744634
1750,8.046,0.3887,125,4.912,2.702,4.093,86,141,208,19,100,58,1425,82,318,61,100,160,12,48,38,1123,55,243,3.669,4.376999999999999,3387,Plaza De España,40.42474,-3.71181,1853,0.0002265787838964127,0.003399708596406022,0.10586662553344645,0.019011477255092814
1751,4.142,0.0328,42,1.172,9.843,6.417,1,20,13,5,89,6,49,32,40,1,4,5,4,33,3,8,19,10,2.652,1.4900000000000002,3388,La Masó - Nuria,40.49474,-3.70882,687,0.005851403759791675,0.001942690626517727,0.09611165569714793,0.0024349781452744634
1752,3.243,0.2458,35,0.581,9.854,6.445,1,17,13,4,72,4,39,28,37,1,6,6,4,34,3,8,19,11,2.734,0.5089999999999999,3389,La Masó - Nuria,40.49476,-3.70943,687,0.005851403759791675,0.001942690626517727,0.09611165569714793,0.0024349781452744634
1753,4.255,0.0846,43,1.221,9.859,6.39,1,21,14,5,92,6,54,32,42,1,4,5,3,36,2,6,16,6,2.583,1.6719999999999997,3390,La Masó - Marbella,40.49506,-3.70742,687,0.005851403759791675,0.001942690626517727,0.09611165569714793,0.0024349781452744634
1757,3.776,0.4167,44,0.647,10.188,6.762,0,16,13,4,88,3,56,21,25,1,6,5,3,49,2,19,13,9,2.766,1.0099999999999998,3391,Costa Brava - Marbella,40.49772,-3.7102,710,0.02629452493968233,0.0009713453132588635,0.11239082969432314,0.001847475379497738
1758,3.15,0.6784,29,1.34,10.2,6.779,0,11,6,2,81,3,35,15,12,1,6,5,2,49,2,19,13,9,2.684,0.46599999999999975,3392,Costa Brava - Marbella,40.49779,-3.71046,710,0.02629452493968233,0.0009713453132588635,0.11239082969432314,0.001847475379497738
1759,3.795,0.2553,37,1.024,10.19,6.677,1,13,11,4,80,4,45,26,19,1,5,5,2,47,2,19,15,9,2.5,1.295,3393,Costa Brava - Fuenfría,40.49811,-3.70714,711,0.029990508712583432,0.0009713453132588635,0.11242765097739435,0.0012894093540355505
1760,3.829,0.4054,49,0.805,10.227,6.714,0,16,13,4,88,3,57,22,27,1,5,5,2,49,2,19,14,9,2.477,1.3520000000000003,3394,Costa Brava - Fuenfría,40.49843,-3.70727,711,0.029990508712583432,0.0009713453132588635,0.11242765097739435,0.0012894093540355505
1761,3.651,0.3866,43,1.179,10.031,6.468,1,13,13,5,80,4,44,26,27,1,3,5,1,38,2,14,18,7,2.443,1.2079999999999997,3395,Costa Brava - La Masó,40.49691,-3.70477,709,0.02665818618171793,0.0014570179698882952,0.10519055890466945,0.00329243942059881
