stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,Unnamed: 29,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
par_8_10457,0.437,,2,0.0,10.04,10.187,0,4,4,0,9,0,6,3,1,27,0,0,0,0,0,0,1,0,0,1,0.856,-0.419,1304,CTRA.RIVAS JARAMA-LA JUNGLA,40.3914108055305,-3.57310370497324,20,8.236193328085895e-05,0.0014570179698882,0.0898851879338193,0.0005470930835803,4897,36.4,36.4,20667.0,20667.0
par_8_07687,2.515,0.678,13,0.671,7.169,11.146,1,22,17,1,72,7,28,26,22,196,0,2,3,0,23,0,0,7,0,35,1.349,1.166,1311,AV.LOS ROSALES-CENTRAL ELÉCT.VILLAVERDE,40.3440780639648,-3.67153072357178,384,0.0001130997006304,0.0009713453132588,0.0941946109154124,0.0009704013430807,4877,26.718716,29.744633,37579.0,30170.0
par_8_07688,1.728,0.6986,8,1.137,8.408,12.281,0,10,12,0,48,4,15,12,10,111,0,0,1,0,21,0,0,1,0,23,1.252,0.476,1312,AV.LOS ROSALES-DEPURADORA BUTARQUE,40.3339767456055,-3.66404938697815,136,2.3275533904324018e-05,0.0009713453132588,0.086107393777183,1.4159552671412003e-06,4878,32.801715,28.934531,28759.0,31570.0
par_8_07690,0.838,0.9584,5,0.064,7.776,11.715,0,0,1,0,13,0,0,3,0,17,0,3,2,0,24,0,0,5,0,34,1.869,-1.031,1314,AV.LOS ROSALES-GASOLINERA,40.3389663696289,-3.66866636276245,351,0.0001130997006304,0.0009713453132588,0.0941946109154124,0.0009704013430807,4880,26.895445,26.319979,35514.0,38719.0
par_8_07691,1.596,0.6566,8,1.129,7.615,11.557,0,10,12,0,48,4,15,13,10,112,0,1,2,0,20,0,0,3,0,26,1.553,0.0430000000000001,1315,AV.LOS ROSALES-GASOLINERA,40.340389251709,-3.66902184486389,352,2.3275533904324018e-05,0.0009713453132588,0.086107393777183,1.4159552671412003e-06,4881,28.030849,29.289564,36017.0,29918.0
par_8_18275,0.745,,4,0.049,6.622,10.653,0,0,1,0,11,0,0,4,0,16,0,6,3,0,35,1,2,13,0,60,2.181,-1.436,1332,AV.LOS ROSALES-ZAFIRO,40.3485717773438,-3.67499017715454,414,0.0006395262707714,0.0009713453132588,0.1039583964455215,0.0019393867308943,5026,28.116637,26.397384,32916.0,39629.0
par_8_18276,3.145,0.6516,16,0.989,6.487,10.534,2,28,18,1,99,8,32,37,28,253,0,9,3,0,38,1,4,13,2,70,2.212,0.9329999999999998,1333,AV.LOS ROSALES-ZAFIRO,40.3496742248535,-3.67595505714417,415,0.0006395262707714,0.0009713453132588,0.1039583964455215,0.0019393867308943,5027,28.338708,29.672962,32938.0,30876.0
par_8_07656,6.224,0.3981,32,4.205,7.264,11.664,2,41,42,2,133,14,63,63,58,418,1,16,23,0,54,6,29,27,24,180,3.112,3.112,1361,AV.REAL DE PINTO-COL.BUTANO,40.3430919756555,-3.70717731584513,385,0.0007472939845769,0.0014570179698882,0.10450185250977,0.0056719045046821,4871,30.96146,30.599022,27526.0,28313.0
par_8_07640,1.809,0.4854,9,1.237,6.788,11.218,0,7,4,0,59,3,7,13,6,99,2,2,3,0,18,0,14,3,4,46,2.215,-0.4059999999999999,1375,CTRA.A42-POL.IND.PRADO OVERA,40.3512519793433,-3.72211132855994,394,8.707048893574132e-05,0.0009713453132588,0.0898538075496399,3.366826968535743e-05,4866,31.010851,31.081066,27294.0,30594.0
par_8_07638,0.779,,3,0.093,5.925,10.343,0,0,0,0,11,1,0,3,1,16,0,1,0,0,15,0,0,2,0,18,1.322,-0.543,1386,CTRA.A42-ESTACIÓN MECÁNICA AGRÍCOLA,40.3596964746237,-3.72162435684089,2152,7.163847001801296e-05,0.0004856726566294,0.089513955308234,0.0,4865,29.71973,28.244996,36518.0,35342.0
par_8_07658,4.001,0.2401,22,1.146,7.807,12.212,0,21,32,0,72,8,37,32,36,238,0,8,15,0,27,4,15,17,21,107,3.148,0.8530000000000002,1392,AV.REAL DE PINTO-PUNTO LIMPIO RECICLAJE,40.3384912315727,-3.70964873642406,371,0.0001711474877522,0.0019426906265177,0.0947450763850542,0.0045128945620002,4873,31.074664,30.95445,27121.0,28172.0
par_8_18443,2.546,0.4065,14,0.763,8.533,12.928,0,6,10,0,22,3,16,14,18,89,0,0,2,0,8,0,4,2,1,17,2.344,0.2019999999999999,1398,LAGUNA DALGA-LAGUNA DE CAMEROS,40.331815153168,-3.70970828894965,366,1.1283846143850832e-05,0.0009713453132588,0.0797351198543933,0.000928108233517,5029,31.7,31.118284,28521.0,27617.0
par_8_18445,2.041,0.3769,13,0.455,8.423,12.781,0,3,4,0,15,2,8,11,10,53,0,0,1,0,4,0,1,2,0,8,2.141,-0.1,1400,LAGUNA DALGA-RESIDENCIA,40.3319462119847,-3.70299959549223,378,2.233214952357554e-06,0.0009713453132588,0.0741260755301148,4.326529982931445e-06,5031,31.762843,31.443154,28144.0,27109.0
par_8_18447,2.366,0.223,15,0.618,8.214,12.568,0,9,15,0,27,3,12,18,18,102,0,0,1,0,5,0,2,2,1,11,2.09,0.2760000000000002,1402,LAGUNA DEL MARQUESADO-SAN EUSTAQUIO,40.333753845657,-3.70204124869319,381,1.7911078708741578e-06,0.0009713453132588,0.0744127213588724,4.6619639546659794e-05,5033,31.887225,31.118284,26886.0,27617.0
par_8_07547,10.036,0.2332,63,5.847,7.211,11.324,8,105,95,9,233,45,229,119,168,1011,2,19,23,3,55,11,38,28,38,217,2.849,7.186999999999999,1422,AV.CARABANCHEL ALTO-AV DEL EURO,40.3642120361328,-3.75346684455872,834,1.0208689916812416e-06,0.0009713453132588,0.0731438721136767,0.0006292136149894,4850,29.664684,30.844958,33682.0,32021.0
