stop_id,clust,stop_lat,stop_lon,stop_name,geometry
1413118,68,60.255113,25.063618,Hevosmiehenkatu,POINT (25.063618 60.255113)
1413114,70,60.25933,25.06483,Tattarisuontie,POINT (25.06483 60.25933)
1413116,76,60.262757,25.068038,Suurmetsäntie,POINT (25.06838 60.26241)
1413115,71,60.25822,25.06413,Tattarisuontie,POINT (25.06413 60.25822)
1414141,73,60.25374,25.0734,Kaadekuja,POINT (25.07349 60.25368)
1414139,74,60.255160000000004,25.069775,Jakomäentie 10,POINT (25.06971 60.25497)
1414137,81,60.259005,25.071649999999998,Jakomäentie 6,POINT (25.07136 60.25883)
1414149,75,60.26445,25.08401,Kalteentie,POINT (25.08393 60.26448)
1414155,80,60.260895000000005,25.086109999999998,Kuussillantie,POINT (25.08622 60.26099)
1412130,77,60.26327,25.06988,Suurmetsäntie,POINT (25.06959 60.26363)
1411105,197,60.26443,25.05769,Karhekuja,POINT (25.05769 60.26443)
1414152,78,60.261995,25.079705,Huokotie,POINT (25.08012 60.2619)
1414135,83,60.2617465,25.075272,Jakomäen ostosk.,POINT (25.075388 60.261811)
1412132,93,60.26757,25.0718,Kalliotie,POINT (25.0718 60.26757)
1370113,84,60.25102,24.986815,Pukinmäenkaari,POINT (24.98678 60.25129)
1391116,161,60.254535000000004,24.983694999999997,Tapaninvainiontie,POINT (24.9837 60.25464)
1370111,224,60.24746000000001,24.991856666666667,Kenttätie,POINT (24.99175 60.24716)
1370102,229,60.247101,24.986081,Säveltie,POINT (24.986081 60.247101)
1362127,85,60.228139999999996,25.027895,Viikin normaalikoulu,POINT (25.02792 60.22806)
1362129,86,60.230819999999994,25.030205,Erik Spåren tie,POINT (25.03053 60.23112)
1362115,237,60.225655,25.023795,Tilanhoitajankaari,POINT (25.02402 60.22567)
1362145,552,60.235195000000004,25.04105,Biologinkatu,POINT (25.04165 60.23508)
1362101,89,60.232398,25.035738,Limnologinraitti,POINT (25.035738 60.232398)
