"","stop_id","weighted_net_income_hh_multi","weighted_net_income_hh_walk","percent_change_income","log_change_income","weighted_gini_multi","weighted_gini_walk","percent_change_gini","log_change_gini","area","ellipticity","number_of_accessible_stops","concave_area","distance_betweenness","distance_from_landuse_centroid","cultural_institutions_multimodal","drugstores_multimodal","groceries_multimodal","healthcare_multimodal","parks_multimodal","religious_organizations_multimodal","restaurants_multimodal","schools_multimodal","services_multimodal","cultural_institutions_walk15","drugstores_walk15","groceries_walk15","healthcare_walk15","parks_walk15","religious_organizations_walk15","restaurants_walk15","schools_walk15","services_walk15","walk_area","area_difference","stop_name","stop_lat","stop_lon","cluster","eigenvector_centrality","degree_centrality","closeness_centrality","betweenness_centrality","cultural_institutions_multimod_d","drugstores_multimodal_d","groceries_multimodal_d","healthcare_multimodal_d","parks_multimodal_d","religious_organ_multimod_d","restaurants_multimodal_d","schools_multimodal_d","services_multimodal_d","cultural_institutions_walk15_d","drugstores_walk15_d","groceries_walk15_d","healthcare_walk15_d","parks_walk15_d","religious_organizations_walk15_d","restaurants_walk15_d","schools_walk15_d","services_walk15_d","multimod_sum","walk_sum","gini_diff","access_diff"
"4955","par_8_1357",47802.6252253988,44962.9720557774,6.31553707370308,0.0612412511786722,29.887339857015,30.0887597326306,-0.669419003659148,-0.00671669662520114,5.863,0.7681,86,1.295,8.657,5.809,5,52,31,7,174,15,110,48,104,4,39,21,4,117,9,65,31,61,3.477,2.386,"AV.C.HERRERA ORIA-ISLA DE AROSA",40.4819542413184,-3.71910935963043,2027,0.0077895871294356,0.0029140359397765,0.0979916238339996,0.0432590859294488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-0.201419875615571,0
"4956","par_8_1366",43532.8206903447,41549.6684749819,4.77296760275463,0.0466256099040978,29.3459000624566,28.6109537738099,2.56875843586659,0.0253632017036787,4.993,0.6994,99,1.678,8.053,4.919,6,62,47,9,160,18,155,47,126,6,47,43,7,104,11,114,31,112,2.97,2.023,"MONFORTE DE LEMOS-JUNTA MUNICIPAL",40.4783427865989,-3.70872434453245,2064,0.0013878465318904,0.0019426906265177,0.0892037085174595,0.0055198096422525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.734946288646633,0
"4957","par_8_1367",43791.3969279043,41537.5372802264,5.42607914492539,0.0528398497308712,29.2137413522447,28.6161646101337,2.08824889796497,0.0206674385133037,5.197,0.6907,86,1.896,8.079,4.946,5,65,52,9,178,18,149,53,130,6,47,42,6,105,12,112,30,112,2.951,2.246,"MONFORTE DE LEMOS-JUNTA MUNICIPAL",40.4785579719169,-3.70889177418221,2064,0.0013878465318904,0.0019426906265177,0.0892037085174595,0.0055198096422525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.597576742110959,0
"4958","par_8_1368",42101.323070554,43245.8404625247,-2.64653751604718,-0.0268218874274221,29.2368283254375,28.7391949641098,1.73154941169775,0.017167289328709,4.584,0.6041,92,1.512,8.082,4.786,6,59,55,8,132,17,169,46,126,6,46,45,7,90,10,113,32,110,3.355,1.229,"MONFORTE DE LEMOS-LA VAGUADA",40.4791409444663,-3.70489847844863,2067,0.0054261932338808,0.0024283632831471,0.0958967910204461,0.0064817849581565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.497633361327711,0
"4959","par_8_1373",44324.397382686,50787.1812052427,-12.7252264630303,-0.136108727821673,30.1495864995727,28.4632625033314,5.92456327184555,0.0575569875218903,5.224,0.4162,86,1.762,8.494,4.941,10,56,51,7,106,19,218,44,119,4,30,21,6,80,8,92,21,58,2.896,2.328,"PEDRO RICO-ARZOBISPO MORCILLO",40.4834068026144,-3.69968098506662,2044,0.0658609047960356,0.0024283632831471,0.107513967939011,0.0040204205515072,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1.68632399624136,0
"4960","par_8_1440",30142.7776016132,29700.722111912,1.48836613478804,0.0147739865627555,30.9558258242761,30.0160546011303,3.13089523468045,0.030828822944898,7.866,0.1775,132,5.756,6.17,10.451,8,74,50,2,231,22,121,101,80,1,34,20,1,114,10,44,36,43,3.269,4.597,"J.JOSE MTNEZ.SECO-ESPERANZA MACARENA",40.3515853881836,-3.69104671478271,406,0.0014673466382995,0.0038853812530354,0.1076545017254,0.0229743315185561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.939771223145868,0
"4961","par_8_1441",30107.5808047958,29687.7743527224,1.41407182325522,0.0140416709178499,30.9642517331769,30.0274825433998,3.11970605069272,0.0307203220830438,7.567,0.215,132,5.261,6.158,10.44,8,74,50,2,234,22,118,99,80,1,34,20,1,116,10,44,38,43,3.33,4.237,"J.JOSE MTNEZ.SECO-E.MACARENA",40.3516998291016,-3.69114208221436,406,0.0014673466382995,0.0038853812530354,0.1076545017254,0.0229743315185561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.936769189777145,0
"4962","par_8_1444",30214.6304858275,29403.3044078341,2.75930237887563,0.0272191973912676,30.9145192218073,30.069755232945,2.80934773934159,0.0277060942155242,8.192,0.1791,134,6.446,6.169,10.393,8,75,50,2,235,22,121,103,80,1,27,17,1,99,7,32,34,33,3.154,5.038,"J.JOSE MTNEZ.SECO-DIAMANTE",40.351634979248,-3.68676090240479,406,0.0014673466382995,0.0038853812530354,0.1076545017254,0.0229743315185561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.84476398886229,0
"4963","par_8_1445",30107.8750527397,29439.7948099507,2.26931011952283,0.0224394431291941,30.9643483275616,30.0680859957228,2.98077613575488,0.0293721453635428,7.561,0.2171,131,5.059,6.16,10.389,8,74,50,2,234,22,118,99,80,1,28,18,1,97,7,32,32,35,3.119,4.442,"J.JOSE MTNEZ.SECO-DIAMANTE",40.3517074584961,-3.68706774711609,406,0.0014673466382995,0.0038853812530354,0.1076545017254,0.0229743315185561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.896262331838763,0
"4964","par_8_1449",29624.0230072177,30612.8637215597,-3.23014770305718,-0.0328346834274702,30.4721674192198,29.1155812903313,4.65931322257019,0.0455402529486788,5.804,0.3071,90,2.397,5.937,10.085,2,49,41,2,179,16,57,79,59,0,17,6,0,75,4,11,25,10,2.697,3.107,"CONCEPCION DE LA OLIVA Nº 13",40.3540153503418,-3.68182754516602,407,0.0038743828914993,0.0014570179698882,0.116511996378452,0.0002697788104811,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,9,7,1.35658612888858,2
"4965","par_8_1450",30107.8750527397,29570.847620734,1.8160704721534,0.0179977688534678,30.9643483275616,30.0191478632403,3.14865854496403,0.0310010485484734,7.561,0.2171,131,5.059,6.133,10.344,8,74,50,2,234,22,118,99,80,1,23,16,1,95,7,27,34,21,3.158,4.403,"ANDREA JORDAN-J.JOSE MTNEZ.SECO",40.351993560791,-3.68579888343811,406,0.0014673466382995,0.0038853812530354,0.1076545017254,0.0229743315185561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,0.945200464321303,0
"4966","par_8_1489",49975.3511815231,45743.9385390132,9.25021495230705,0.0884706155125105,29.9374952605394,32.5445390412581,-8.01069505828221,-0.083497866330182,4.12,0.2817,50,2.061,7.57,3.726,4,41,41,7,84,12,144,31,75,4,26,37,4,58,10,119,22,50,3.171,0.949,"CUATRO TORRES",40.4754486083984,-3.68840861320496,2098,0.212703750550496,0.0029140359397765,0.119086176980914,0.0131801418586292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,-2.60704378071879,0
