stop_id,stop_name,stop_lat,stop_lon,clust,geometry
007877,Bíróság,47.519481,18.9780405,2120,POINT (18.97806 47.519544)
007879,"Római úti lakótelep, Varsa utca",47.570863,19.058543,1752,POINT (19.058543 47.570863)
007881,Váradi utca,47.543645500000004,19.030374000000002,1947,POINT (19.030125 47.543722)
007883,Perényi út,47.546281,19.0293865,1973,POINT (19.029579 47.5458)
007884,Deák Ferenc tér M,47.497643749999995,19.05453025,366,POINT (19.055158 47.497413)
007885,Dorottya utca (Vörösmarty tér M),47.4971395,19.050100999999998,369,POINT (19.049623 47.497476)
007897,Kelenföld vasútállomás M,47.46456733333333,19.020276666666668,1413,POINT (19.022964 47.464572)
007900,Maros utcai rendelőintézet,47.503795999999994,19.022413999999998,1260,POINT (19.022401 47.503724)
007913,526. sor,47.479290500000005,19.211399999999998,77,POINT (19.211332 47.479281)
007919,Pólus Center,47.552544,19.143552,815,POINT (19.143552 47.552544)
007923,Kele utca,47.431808,19.173804,872,POINT (19.173804 47.431808)
007924,Ültetvény utca,47.396841,19.175250499999997,922,POINT (19.175423 47.396895)
007927,Ferihegy vasútállomás,47.438045,19.2230465,981,POINT (19.222716 47.438423)
007930,Savoyai Jenő tér (Törley tér),47.430351,19.036572999999997,1506,POINT (19.036354 47.430333)
007949,Kocsis Sándor út,47.574343,19.013009,1683,POINT (19.013009 47.574343)
007950,Keleti pályaudvar M,47.50007766666666,19.08285616666667,494,POINT (19.082712 47.501104)
007968,Mogyoród útja,47.570602,19.128267,1808,POINT (19.128267 47.570602)
007973,Hűvösvölgy,47.5429465,18.964362166666664,2085,POINT (18.964574 47.542892)
007979,Vörösmarty utca M,47.5075734,19.0667354,416,POINT (19.066509 47.507468)
007995,Jókai Mór utca,47.410292,19.02051966666667,1642,POINT (19.020681 47.410717)
008020,Örs vezér tere M+H,47.50299893103448,19.13641627586207,726,POINT (19.136306 47.500932)
008036,Kőbányai út 31.,47.487539749999996,19.10398675,610,POINT (19.104252 47.487461)
008040,Tas vezér utca,47.47878175,19.04059675,1312,POINT (19.040827 47.478606)
008047,Lajosmizsei sorompó,47.45067433333333,19.160945666666667,1029,POINT (19.16141 47.450468)
008050,Liptó utca,47.486055,19.007051,1230,POINT (19.007031 47.4861)
008067,Szent Imre tér,47.4308324,19.070718799999998,1544,POINT (19.0703 47.430889)
008087,Fény utcai piac,47.50727043478261,19.024549000000004,1267,POINT (19.023646 47.508464)
008090,Móricz Zsigmond körtér M,47.47755663636363,19.046734727272728,1301,POINT (19.048786 47.477256)
008093,Dél-pesti autóbuszgarázs,47.4266445,19.1613985,896,POINT (19.161776 47.426707)
008094,Dél-pesti autóbuszgarázs,47.42616,19.16094,897,POINT (19.16094 47.42616)
008095,Nagykőrösi út,47.425276999999994,19.157635250000002,895,POINT (19.157029 47.425255)
008098,Szabina út,47.436839666666664,19.013760333333334,1580,POINT (19.013416 47.43645)
008106,Vihar utca,47.4345335,19.0360355,1503,POINT (19.035651 47.434282)
008109,Damjanich utca,47.4024235,18.990934000000003,1652,POINT (18.991053 47.402518)
008110,Barosstelep vasútállomás,47.399568,18.9908845,1651,POINT (18.990911 47.399613)
008111,Barackos út / Angeli utca,47.402248,18.974427,1625,POINT (18.974427 47.402248)
008112,Szakiskola utca,47.405092499999995,18.975870999999998,1624,POINT (18.975841 47.40492)
008113,Szilvafa utca,47.4051815,18.982634500000003,1650,POINT (18.982168 47.405214)
008114,Mátyás király utca,47.404348,18.991005,1653,POINT (18.990746 47.404326)
008115,Szebeni utca,47.430257499999996,19.016478499999998,1592,POINT (19.016061 47.430338)
008119,Mátra utca,47.4001605,18.998567,1667,POINT (18.997693 47.400093)
008124,Zöldike utca,47.4309715,19.012591,1604,POINT (19.012823 47.430738)
008126,Hír utca,47.432905,19.011463,1603,POINT (19.011523 47.432896)
