stop_id,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
007877,0.27803152259368796,0.3602593279059037
007878,0.274220410038477,0.37327627975850225
007879,0.2760030558542244,0.34402630921655153
007881,0.37924425391355765,0.37155575029127375
007883,0.3581255794935586,0.35450663815110733
007884,0.44984610866704694,0.474775115226032
007885,0.44435177062911146,0.46015482185018025
007897,0.4568785871742984,0.4148377739022326
007898,0.45660455111968806,0.4131476598488523
007900,0.45159611203216604,0.4464546804500543
007913,0.12520895473466848,0.1884116607397628
007914,0.12417224108373388,0.19792032410533425
007919,0.43746875,0.4094549138029892
007923,0.36094181938499964,0.334247968035157
007924,0.18314544446497877,0.21408566538487184
007927,0.2872411103729166,0.31407304679458703
007928,0.28764278296988577,0.32467029387424506
007930,0.3289939926591056,0.3191499952986465
007931,0.3321412719548538,0.32159256829676025
007949,0.08001638560797432,0.2507890809682915
007950,0.4918754051460693,0.4781239245177106
007967,0.4656259827886897,0.4292476462512444
007968,0.2691058327655326,0.3025383707201889
007973,0.15972727272727272,0.28939880549921115
007974,0.15393009129596624,0.2741519596607838
007975,0.14998729997459995,0.2976963126738464
007976,0.14747545806286574,0.2499712412285747
007977,0.15991801411979048,0.2499712412285747
007978,0.15793650793650793,0.2499712412285747
007979,0.4458836213123205,0.4601498559829854
007980,0.4460550885610863,0.46301210207061183
007995,0.26877868577185715,0.2885003941624214
008020,0.47894648639590015,0.43949297102691587
008021,0.47925169726932676,0.43949297102691587
008022,0.4788539893754191,0.43949297102691587
008023,0.4791585127201566,0.4374614072360778
008024,0.479275450851239,0.43962653387871237
008025,0.4786489287451619,0.43807394240024733
008026,0.47828309185501616,0.43949297102691587
008028,0.47952138901232294,0.43949297102691587
008029,0.4799833363815562,0.43949297102691587
008030,0.4791037976040522,0.4406894044705938
008036,0.4634776987718164,0.48957368784276734
008037,0.46187492279531495,0.4737646839455529
008040,0.48518026092843936,0.4748499428353659
008041,0.48500933433642623,0.46701269148146357
008047,0.3990412033076704,0.44479269155941004
008050,0.28555435048805233,0.3226148968323736
008051,0.28491999642442123,0.38714362421317533
008067,0.3670605612998523,0.3745747817212836
008087,0.45489554339414245,0.4390328780551302
008090,0.5058782397116592,0.47408352708774015
008093,0.25418008181295004,0.2826449690579876
008094,0.2347773605150215,0.33831809688624703
008095,0.12453048980312084,0.2909984422355037
008096,0.12677561129592307,0.31208248044302694
008098,0.09421426902146696,0.21965124381260914
008106,0.3402315669674483,0.34263990463610294
008109,0.21050839931917414,0.1924336815523341
008110,0.21650281985288947,0.20832880759455175
008111,0.08353036243378326,0.2086026265309134
008112,0.07960523789409009,0.21429163950939148
008113,0.12496982862659907,0.2060072562897758
008114,0.21369563519950027,0.1926950528019374
008115,0.19308315786437452,0.17197266374875222
008116,0.19984951962032643,0.22101545087076424
008119,0.232872375634956,0.23233265141062848
008124,0.17481762474467466,0.1780198384508117
008125,0.1717092574734812,0.19951363739743522
008126,0.149555448756458,0.19213770936393543
008127,0.14726944184178825,0.17896889378268904
008128,0.34313047617968107,0.34937839803303666
008132,0.4805638388510224,0.4760513940433285
008146,0.45224785416772056,0.48028464642143764
008147,0.4478828650573803,0.47581739629102804
