stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range
008426,0,3,2,0,3,0,1,0,0,walk,5
008440,0,0,3,0,6,0,2,2,1,walk,5
008455,7,5,11,1,7,1,61,0,14,walk,5
008458,0,2,3,3,6,0,8,2,15,walk,5
008459,0,2,6,1,2,1,6,2,14,walk,5
008460,0,2,4,1,1,1,4,2,13,walk,5
008461,0,4,5,2,4,2,6,3,12,walk,5
008481,0,0,1,0,1,0,2,1,1,walk,5
008490,0,2,1,0,2,0,5,1,5,walk,5
008491,0,0,0,0,1,0,0,0,0,walk,5
008498,0,0,1,1,3,0,0,0,0,walk,5
008499,0,0,1,0,2,1,1,2,0,walk,5
008500,0,1,5,0,10,1,6,3,2,walk,5
008501,1,4,7,3,3,2,17,7,13,walk,5
008519,2,1,3,0,19,0,12,4,15,walk,5
008521,7,1,0,1,12,2,5,3,3,walk,5
008535,0,0,0,0,1,0,0,0,0,walk,5
008544,2,4,3,1,11,2,29,2,19,walk,5
008545,1,2,4,1,0,2,13,5,7,walk,5
008546,1,6,7,0,5,0,29,2,10,walk,5
008559,0,1,0,0,5,1,0,2,0,walk,5
008560,0,1,0,0,5,1,0,2,0,walk,5
008567,0,1,3,4,5,0,1,2,13,walk,5
008569,0,0,0,0,1,0,0,0,0,walk,5
008575,0,0,1,0,1,0,0,2,1,walk,5
008577,0,1,1,3,1,5,3,6,1,walk,5
008587,0,0,1,0,1,0,0,0,0,walk,5
008588,0,0,1,0,1,0,0,0,0,walk,5
008589,0,0,3,1,4,0,0,2,0,walk,5
008590,12,2,3,2,6,4,21,1,12,walk,5
008591,10,2,3,2,6,3,20,1,9,walk,5
008593,5,5,14,0,4,4,78,3,67,walk,5
008605,2,4,3,1,13,4,34,3,28,walk,5
008644,0,0,0,0,1,0,0,0,0,walk,5
008645,0,0,0,0,1,0,0,0,0,walk,5
008692,0,0,1,0,0,1,3,0,0,walk,5
008694,10,6,15,4,5,3,62,3,29,walk,5
