stop_id,stop_name,stop_lat,stop_lon,clust
008521,Serfőző utca,47.538309,19.046968,1940
008535,Cinkotai autóbuszgarázs,47.4983365,19.237973250000003,71
008544,Szépvölgyi út H,47.527834333333324,19.039735333333336,2036
008546,Boráros tér H,47.4798053,19.0669076,461
008559,Korompai utca,47.4848245,19.012664,1275
008567,Gazdagréti tér,47.4732896,18.992602599999998,1343
008575,Távíró utca,47.461082,19.119025,663
008577,Rákoshegy vasútállomás,47.46794825,19.244328,136
008587,Gyáli út,47.456382500000004,19.110684,1185
008589,Gyáli út,47.4661095,19.102804,621
008590,Szent Gellért tér - Műegyetem M,47.48298057142857,19.053439857142855,1367
008605,Kolosy tér,47.52762357142857,19.037229,2035
008644,Vízművek,47.5999255,19.093050499999997,1784
008692,Felsőcsatári köz,47.4583875,19.176757000000002,1040
008694,Köztelek utca,47.4870545,19.0676955,474
008697,Újpest-központ M,47.56031699999999,19.08991971428571,1890
008708,Vízművek lakótelep,47.597772500000005,19.091533,1783
008731,Budagyöngye,47.5162026,18.9989172,2133
008736,Dániel út,47.512872,18.9948585,2132
008750,Batthyány tér M+H,47.506132,19.038971833333335,335
008754,Pestszentimre vasútállomás (Dózsa Gy.u.),47.403500333333334,19.185912000000002,931
008782,Blaha Lujza tér M,47.497048875,19.070277625000003,479
008788,Kőérberek,47.445258499999994,18.999810500000002,1591
008792,Normafa,47.502630999999994,18.9656265,2160
008793,Regényes utca,47.429618000000005,19.0210505,1593
008832,Szakorvosi rendelőintézet,47.443871,19.181125,961
008841,Íves út,47.592830666666664,19.107217000000002,1787
008844,Egressy út / Vezér utca,47.519195,19.12676675,755
008850,Mikszáth Kálmán utca,47.450981999999996,19.177059,1052
008863,Gőzmozdony utca,47.470028,19.157173,537
008893,Csepeli átjáró,47.436352,19.0927475,1160
008894,Vízisport utca,47.4342605,19.091312000000002,1155
008895,Teremszeg utca,47.432951,19.092221,1157
008896,Pesterzsébet vasútállomás,47.4336165,19.096942,1152
008898,Szakorvosi rendelő,47.44152975,19.102475750000004,1143
008903,Szentmihályi út,47.54149933333333,19.151422166666666,845
008904,Kétújfalu utca,47.419270499999996,19.208835,902
008910,"Káposztásmegyer, Mogyoródi-patak",47.598532250000005,19.121429,1793
008911,Homoktövis iskola,47.597010499999996,19.11658,1794
008918,"Budatétény, benzinkút",47.4301,19.003628,1607
008922,Gyula vezér út,47.4094355,19.0037785,1676
008923,Kabai utca,47.495618500000006,19.160444,547
008939,Békásmegyer H,47.597937,19.05497857142857,1720
008943,"Budatétény, benzinkút",47.43078475,19.0053545,1606
008946,Szénás utca,47.527707,19.181100999999998,690
008947,Szlovák út,47.53155425,19.1891685,683
008948,Kucorgó tér,47.46912825,19.29494975,91
008952,Terv utca,47.40792866666666,19.002075,1677
008953,Csillag utca,47.4093895,19.1190265,1132
008955,Gombosszeg köz,47.4133405,19.118465,1141
008957,Előd utca,47.419219,19.116973666666667,1136
008958,Alsó határút,47.4163785,19.1163775,1140
008959,Templom utca 6.,47.408876,19.11362,1134
008960,Gyáli-patak,47.394724999999994,19.116676,1000
008963,Grassalkovich út,47.390918,19.1187555,999
008967,Szentlőrinci úti lakótelep,47.41690825,19.130894,1124
009025,Zichy Jenő utca,47.505219,19.057720500000002,289
009039,Csanády utca (Lehel tér M),47.51708944444445,19.060166888888887,313
009041,Haller utca / Soroksári út,47.47509625,19.070555875,1359
009047,Homoktövis utca,47.59417933333334,19.113578333333333,1786
009072,AsiaCenter,47.548412,19.146959,816
009137,Újmajori utca,47.471697,19.220067,155
009138,Csillagmotor köz,47.471018,19.221893,156
009139,Dedics Ferenc utca,47.4693245,19.226630999999998,154
009146,Vágóhíd utca,47.473394000000006,19.079952666666667,1389
009147,Vörösmarty utca,47.420238000000005,19.119956,1137
009148,Szusza Ferenc Stadion,47.5759195,19.083851000000003,1835
009153,Óbudai rendelőintézet,47.545603,19.033613666666668,1950
009154,Atlétikai stadion,47.5723775,19.114289499999998,1869
009179,"Petőfi híd, budai hídfő",47.476743750000004,19.059165,1370
009208,"Pestszentlőrinc, Szarvas csárda tér",47.4412735,19.185258,967
009225,Noszlopy utca,47.4719055,19.148362,640
009289,Gergely utca,47.46838966666667,19.155085,536
009295,Serfőző utca,47.53972183333334,19.04606275,1938
009311,"BILK, bekötőút",47.3786055,19.1298075,994
009312,MNB,47.3767785,19.1243425,991
009314,"BILK, DF épület",47.375229,19.120911,993
009337,Orbánhegyi dűlő,47.3863585,19.110354,1003
009339,Szent István utca H,47.39132433333333,19.114508,1001
009349,Budaörsi repülőtér,47.447103,18.986262,1572
009351,Kőérberek,47.446285,18.9986645,1590
009353,Tippan utca,47.447878,19.000612500000003,1589
009355,Régi vám (Kánai út),47.446327499999995,19.0040215,1587
009358,Millenniumtelep H,47.379680500000006,19.104592,997
009365,Zsil utca,47.48289233333333,19.062718666666665,468
009373,Hunyadvár utca,47.508153,19.192136,45
009375,Szilas-patak,47.529696,19.186239,684
009377,Jókai Mór utca (Rendőrség),47.510679,19.190328666666666,44
009379,József utca,47.5322865,19.156264999999998,667
009381,Rózsa utca,47.516207,19.155905,703
009382,Jávorfa utca,47.526052,19.177918,687
009383,János utca,47.52346266666667,19.171934333333336,679
009394,Rómaifürdő H,47.575495,19.048741,1758
009413,Ezredes utca,47.5102545,19.021419,2013
009415,Sárfű utca,47.549984,19.1380935,821
009420,Honvédkórház,47.531561,19.070886,253
009421,Ezred utca,47.6064265,19.0979105,1790
009429,Keserűvíztelep (Bobpálya),47.454342999999994,19.007528999999998,1397
009431,Régi vám,47.4462245,19.005838,1588
009445,Tatárka utca,47.433987,19.0211265,1601
009446,Botond utca,47.403953,18.995789,1660
009448,Görgey utca,47.406802,18.991613,1662
009449,Török utca,47.411614,18.989898,1655
009451,Gyűszű utca,47.417266,19.0224,1646
009452,Húr utca,47.416159,19.020426,1644
009453,Dévény utca,47.415224,19.022189,1645
009454,Wesselényi utca,47.415917,19.026059,1511
009455,Ostor utca,47.416544,19.029864,1513
009456,Római utca,47.4175525,19.017954000000003,1643
009458,Hűség utca,47.4208685,19.013746,1610
009460,Komáromi út,47.424274,19.0109985,1612
009462,Tanító utca,47.435301499999994,19.009254,1583
009465,Plébánia utca,47.429708000000005,19.03227,1505
009467,Galamb utca,47.432738,19.0284775,1600
009469,Alkotmány utca,47.4334075,19.0259255,1599
009471,Széchenyi utca,47.4183245,19.0326175,1519
009472,Promontor utca,47.418055,19.027015,1512
009474,Komló utca,47.421812666666675,19.035596333333334,1520
009475,Méhész utca,47.438572,19.034695,1442
009480,Margó Tivadar utca,47.433194,19.177120000000002,870
009481,Kerékgyártó utca,47.52122625,19.106023500000003,780
009483,Rákoscsaba vasútállomás,47.4912908,19.282016600000002,116
009484,Tura utca,47.489191,19.2769765,115
009485,Rákoscsaba-Újtelep vasútállomás,47.488127500000004,19.2734425,178
009486,II. utca,47.486369,19.265893,177
009487,Rákosliget vasútállomás,47.4866015,19.258730749999998,175
009491,Füstifecske utca,47.478843499999996,19.237045000000002,147
009493,Uszoda,47.4794605,19.2334715,148
009494,"Újlak utca, lakótelep",47.482203999999996,19.2335345,146
009495,Rákospatak utca,47.531200999999996,19.1008655,760
