stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
007931,3.741,0.5303,38,0.816,6.836,8.23,6,7,11,4,42,6,27,16,18,1,10,9,2,27,5,24,14,22,2.655,1.0860000000000003,Savoyai Jenő tér (Törley tér),47.430369,19.036792,1506,2.3539472217099386e-08,0.000983767830791933,0.054537650562008745,0.00044287350139762035
007949,2.431,0.7103,19,0.379,10.135,10.481,3,3,8,0,13,3,30,5,16,0,0,1,0,1,1,3,1,0,2.497,-0.06599999999999984,Kocsis Sándor út,47.574343,19.013009,1683,1.0870058105353807e-10,0.0014756517461878996,0.042027577367539745,0.0019670515238718626
007950,11.176,0.6401,114,6.177,2.03,0.796,146,86,222,41,141,70,1063,94,291,19,28,83,11,34,24,162,36,81,3.418,7.758,Keleti pályaudvar M,47.501104,19.082712,494,0.02466914550783931,0.005410723069355632,0.09295839048925468,0.29468237449917295
007967,10.264,0.485,100,4.849,4.01,6.04,31,32,74,23,91,30,228,53,219,5,13,20,4,23,9,63,15,36,2.598,7.6659999999999995,Kelenföld vasútállomás M,47.465732,19.021875,1413,0.00014721160128550767,0.004426955238563699,0.07229472636108246,0.0676980425782687
007968,4.431,0.4754,43,1.656,10.312,8.87,1,6,16,4,34,6,16,10,23,0,4,9,3,24,6,12,8,16,3.096,1.335,Mogyoród útja,47.570602,19.128267,1808,6.718927147493361e-08,0.0014756517461878996,0.050436637888260395,0.0
007973,2.499,0.897,28,0.44,9.442,10.76,2,5,8,4,18,6,21,18,10,1,4,2,0,13,4,10,4,7,2.48,0.019000000000000128,Hűvösvölgy,47.542892,18.964574,2085,6.038759540110586e-10,0.0014756517461878996,0.04501572118152429,0.029095950284866633
007974,2.716,0.856,31,0.604,9.41,10.731,3,5,8,5,19,6,21,18,12,1,6,5,0,13,5,14,6,9,3.045,-0.32899999999999974,Hűvösvölgy,47.542605,18.964773,2085,6.038759540110586e-10,0.0014756517461878996,0.04501572118152429,0.029095950284866633
007975,2.713,0.918,30,0.505,9.484,10.798,1,7,9,5,24,7,24,19,15,1,6,4,1,16,6,17,7,9,2.86,-0.1469999999999998,Hűvösvölgy,47.543243,18.964281,2085,6.038759540110586e-10,0.0014756517461878996,0.04501572118152429,0.029095950284866633
007976,2.025,0.8812,22,0.398,9.502,10.818,1,4,4,2,13,5,17,11,8,1,6,4,1,16,6,17,7,9,2.885,-0.8599999999999999,Hűvösvölgy,47.543264,18.963995,2085,6.038759540110586e-10,0.0014756517461878996,0.04501572118152429,0.029095950284866633
007977,2.025,0.8812,22,0.398,9.469,10.789,1,4,4,2,13,5,17,11,8,1,4,2,0,13,4,10,3,7,2.443,-0.41800000000000015,Hűvösvölgy,47.542968,18.964195,2085,6.038759540110586e-10,0.0014756517461878996,0.04501572118152429,0.029095950284866633
007978,2.025,0.8812,22,0.398,9.442,10.764,1,4,4,2,13,5,17,11,8,1,4,2,0,13,4,10,5,7,2.533,-0.508,Hűvösvölgy,47.542707,18.964355,2085,6.038759540110586e-10,0.0014756517461878996,0.04501572118152429,0.029095950284866633
007979,7.442,0.3903,88,2.933,2.034,2.165,135,85,185,38,100,48,1075,67,337,74,35,82,17,39,22,455,39,154,3.301,4.141,Vörösmarty utca M,47.507468,19.066509,416,0.00035861604631543534,0.002459419576979833,0.08310509749417487,0.004046792729408668
007980,6.624,0.5069,71,1.962,2.034,2.148,104,64,148,30,82,35,855,51,272,74,33,84,18,38,22,457,39,153,3.323,3.3009999999999997,Vörösmarty utca M,47.507444,19.066767,416,0.00035861604631543534,0.002459419576979833,0.08310509749417487,0.004046792729408668
007995,6.293,0.4373,53,4.633,9.289,10.73,9,12,22,3,44,10,42,26,30,2,4,6,1,12,3,17,10,16,2.701,3.592,Jókai Mór utca,47.410717,19.020681,1642,2.8748077074211547e-10,0.002459419576979833,0.048250818816157975,0.01452725836305127
008020,10.963,0.4445,131,10.057,5.744,3.615,5,30,46,11,122,11,92,53,73,1,8,8,4,51,2,21,16,22,2.538,8.424999999999999,Örs vezér tere M+H,47.500932,19.136306,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008021,10.963,0.4445,131,10.057,5.764,3.63,5,30,46,11,122,11,92,53,73,1,11,12,4,54,2,26,19,25,2.725,8.238,Örs vezér tere M+H,47.50194,19.136228,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
008022,10.963,0.4445,131,10.057,5.761,3.629,5,30,46,11,122,11,92,53,73,1,9,8,4,53,2,25,16,24,2.65,8.312999999999999,Örs vezér tere M+H,47.501517,19.136333,726,0.5442157530461749,0.008853910477127398,0.08362469663938135,0.22770854490374898
