stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
008949,13.409,13.44,12.597
008950,13.289,13.32,12.475
008952,10.136,10.139,11.742
008953,9.901,9.928,9.841
008954,9.867,9.894,9.804
008955,9.491,9.518,9.409
008956,9.452,9.479,9.363
008957,8.917,8.944,8.802
008958,9.09,9.117,9.007
008959,9.766,9.792,9.793
008960,11.308,11.334,11.383
008963,11.806,11.832,11.874
008967,9.6,9.629,9.279
008971,9.887,9.89,11.483
009025,1.779,1.758,2.591
009026,1.789,1.768,2.611
009039,2.946,2.927,3.216
009041,1.663,1.688,2.659
009042,1.839,1.864,2.768
009047,12.323,12.315,11.192
009072,9.162,9.169,7.335
009137,12.076,12.106,10.22
009138,12.225,12.254,10.372
009139,12.574,12.603,10.735
009140,12.644,12.674,10.799
009146,2.204,2.234,2.519
009147,8.898,8.926,8.72
009148,9.74,9.729,8.95
009153,6.571,6.547,6.944
009154,10.051,10.047,8.794
009155,10.003,9.998,8.746
009161,1.997,2.011,0.589
009162,1.98,1.992,0.67
009163,2.002,2.015,0.652
009174,3.453,3.421,5.022
009179,1.426,1.439,3.072
009208,10.711,10.743,9.408
009220,1.678,1.675,3.654
009225,6.794,6.824,5.174
009230,1.126,1.097,2.701
009234,13.351,13.382,12.521
009243,9.108,9.135,9.034
009289,7.344,7.375,5.756
009290,2.74,2.766,3.335
009295,5.661,5.639,5.869
009309,1.007,0.98,2.52
009311,13.287,13.313,13.292
009312,13.367,13.392,13.439
009314,13.452,13.477,13.571
009315,13.39,13.416,13.463
009318,5.733,5.754,3.593
009321,2.04,2.053,0.624
009322,5.927,5.948,3.789
009337,12.026,12.051,12.228
009338,12.026,12.05,12.223
009339,11.621,11.646,11.748
009349,7.373,7.363,9.397
009351,6.77,6.763,8.732
009352,6.765,6.758,8.725
009353,6.519,6.511,8.483
009354,6.558,6.551,8.524
009355,6.484,6.478,8.414
009356,6.487,6.481,8.415
009358,12.619,12.642,12.92
009359,1.137,1.161,2.432
009365,0.751,0.771,2.414
009373,10.024,10.047,7.896
009375,10.303,10.32,8.184
009377,9.955,9.977,7.82
009379,8.515,8.529,6.482
009381,7.69,7.709,5.558
009382,9.635,9.653,7.514
009383,9.135,9.152,7.011
009392,10.868,10.848,10.652
009393,10.67,10.65,10.478
009394,9.593,9.573,9.387
009413,3.8,3.768,5.324
009415,8.846,8.851,7.114
009420,4.731,4.719,4.249
009421,13.234,13.223,12.317
009422,13.336,13.325,12.413
009429,5.627,5.619,7.62
009430,5.699,5.692,7.683
009431,6.342,6.337,8.262
