stop_id,walk15_gini,multimodal_gini,walk15_mean_price,multimodal_mean_price
008559,0.1518,0.1544,0.864,0.752
008560,0.1527,0.14,0.851,0.729
008567,0.1926,0.1417,0.805,0.754
008569,0.1436,0.1885,0.362,0.455
008575,0.1105,0.1675,0.504,0.404
008577,0.1697,0.1582,0.358,0.389
008587,0.1455,0.2396,0.438,0.387
008588,0.1523,0.2396,0.438,0.387
008589,0.1265,0.1337,0.501,0.5
008590,0.1801,0.1944,0.884,0.816
008591,0.1804,0.1944,0.885,0.816
008593,0.119,0.1846,0.73,0.807
008605,0.1536,0.1659,0.741,0.683
008644,0.0,0.1366,0.63,0.455
008645,0.0557,0.1366,0.53,0.455
008692,0.1437,0.144,0.414,0.444
008694,0.1804,,0.713,
008697,0.1241,0.1503,0.503,0.564
008702,0.1487,0.1452,0.659,0.666
008708,0.0614,0.1366,0.378,0.455
008725,0.1534,0.1594,0.559,0.599
008731,0.1513,0.1515,0.821,0.806
008736,0.1306,0.1276,0.777,0.76
008737,0.1335,0.1276,0.785,0.76
008750,0.1794,0.1875,0.856,0.813
008754,0.1737,0.1802,0.343,0.377
008782,0.1826,0.1982,0.739,0.782
008785,0.1543,0.1594,0.563,0.599
008788,0.161,0.1564,0.701,0.349
008789,0.161,0.2204,0.701,0.532
008792,0.3136,0.2784,1.051,1.001
008793,0.1571,0.0816,0.452,0.513
008832,0.1709,0.1681,0.417,0.411
008841,0.0969,0.1459,0.569,0.48
008842,0.0476,0.1459,0.612,0.48
008844,0.1373,0.1372,0.593,0.57
008850,0.1446,0.1806,0.425,0.401
008863,0.1287,0.1425,0.465,0.433
008893,0.1683,0.2109,0.463,0.448
008894,0.1622,0.2388,0.482,0.362
008895,0.1533,0.2427,0.489,0.363
008896,0.1758,0.2427,0.469,0.363
008898,0.1664,0.1884,0.372,0.403
008903,0.1078,0.1647,0.452,0.44
008904,0.1568,0.1537,0.417,0.397
008910,0.0993,0.1438,0.568,0.488
008911,0.0912,0.144,0.575,0.487
008918,0.1693,0.1692,0.486,0.425
008921,0.1817,0.1532,0.399,0.388
008922,0.1767,0.1813,0.462,0.386
008923,0.142,0.1258,0.46,0.441
008924,0.142,0.1258,0.46,0.441
008939,0.1791,0.2049,0.5,0.617
008943,0.1697,0.1979,0.486,0.56
008946,0.1877,0.1832,0.412,0.434
008947,0.1958,0.1826,0.435,0.434
008948,0.1907,0.1781,0.345,0.372
008949,0.1726,0.1802,0.343,0.377
008950,0.1735,0.1787,0.343,0.375
008952,0.1752,0.1828,0.452,0.396
008953,0.1956,0.1981,0.295,0.326
008954,0.1968,0.1981,0.296,0.326
008955,0.195,0.1981,0.306,0.326
008956,0.192,0.1981,0.306,0.326
008957,0.1878,0.1981,0.334,0.326
008958,0.181,0.1981,0.344,0.326
008959,0.1883,0.2135,0.287,0.303
008960,0.1925,0.2449,0.289,0.355
008963,0.1898,0.2449,0.301,0.355
008967,0.1523,0.183,0.351,0.332
008971,0.1756,0.1748,0.462,0.406
009025,0.1742,0.1201,0.874,0.697
009026,0.1743,0.1924,0.875,0.809
009039,0.1479,0.1441,0.766,0.736
009041,0.1478,0.1697,0.662,0.357
009042,0.141,0.2165,0.666,0.545
009047,0.1213,0.1459,0.544,0.48
009072,0.1087,0.1512,0.442,0.448
009137,0.1092,0.152,0.435,0.398
009138,0.1128,0.1569,0.432,0.392
009139,0.1342,0.1545,0.41,0.396
009140,0.139,0.1569,0.405,0.392
009146,0.1454,0.1452,0.659,0.666
009147,0.1809,0.1989,0.339,0.324
009148,0.1462,0.1459,0.456,0.48
009153,0.1478,0.1494,0.609,0.652
009154,0.1589,,0.479,
009155,0.1558,0.1397,0.488,0.48
009161,0.1611,0.1613,0.614,0.595
009162,0.1604,0.1613,0.614,0.595
009163,0.1614,0.1613,0.614,0.595
009174,0.1471,0.1527,0.784,0.811
009179,0.1244,0.1352,0.695,0.651
009208,0.1816,0.1868,0.409,0.385
009220,0.1194,0.1846,0.731,0.807
009225,0.1365,,0.463,
009230,0.1732,0.1914,0.981,0.813
009234,0.1816,0.1802,0.336,0.377
009243,0.1833,0.1981,0.332,0.326
009289,0.1354,0.1425,0.455,0.433
009290,0.1585,0.2165,0.694,0.545
009295,0.1426,0.1692,0.628,0.684
009309,0.1735,0.1914,0.958,0.813
009311,0.0528,,0.337,
009312,0.0528,,0.337,
009314,0.0528,,0.337,
009315,0.0528,0.2067,0.337,0.392
009318,0.133,0.1437,0.539,0.524
009321,0.1598,0.1613,0.613,0.595
009322,0.1401,0.1398,0.535,0.516
009337,0.2087,0.2067,0.303,0.392
009338,0.2087,0.2449,0.303,0.355
009339,0.1951,0.2449,0.292,0.355
009349,0.1571,0.089,0.721,0.962
009351,0.1481,0.089,0.729,0.962
009352,0.1579,0.089,0.706,0.962
009353,0.1612,0.089,0.688,0.962
009354,0.1495,0.089,0.718,0.962
009355,0.1439,0.089,0.712,0.962
009356,0.1445,0.1515,0.711,0.694
009358,0.2079,0.2449,0.355,0.355
009359,0.1667,0.2133,0.699,0.391
009365,0.1915,,0.791,
009373,0.1618,0.1704,0.465,0.446
009375,0.1931,0.1832,0.416,0.434
009377,0.1668,0.1576,0.448,0.461
009379,0.1669,0.197,0.469,0.47
009381,0.1224,0.1819,0.475,0.439
009382,0.1844,0.1819,0.419,0.439
009383,0.176,0.1819,0.424,0.439
009392,0.192,0.2069,0.622,0.613
009393,0.1892,0.2069,0.642,0.613
009394,0.1731,0.1908,0.613,0.617
009413,0.1494,0.1529,0.784,0.804
009415,0.12,0.1656,0.443,0.423
009420,0.1337,0.1261,0.685,0.698
009421,0.1265,0.1366,0.466,0.455
009422,0.1279,0.1366,0.464,0.455
009429,0.1494,0.1515,0.683,0.694
009430,0.15,0.1515,0.686,0.694
009431,0.1507,0.1514,0.698,0.694
009445,0.1579,0.1922,0.483,0.523
009446,0.1686,0.1791,0.423,0.391
009447,0.177,0.1791,0.404,0.391
009448,0.1805,0.0679,0.411,0.548
009449,0.1522,0.1562,0.412,0.448
009451,0.191,0.1851,0.489,0.431
009452,0.1889,0.1851,0.49,0.431
009453,0.2092,,0.496,
009454,0.1783,0.1802,0.479,0.517
009455,0.1674,0.1802,0.483,0.517
009456,0.1846,0.1851,0.469,0.431
009457,0.1779,,0.475,
009458,0.1566,0.1851,0.434,0.431
009459,0.1544,0.1851,0.434,0.431
009460,0.1561,0.1851,0.434,0.431
009461,0.1556,0.1851,0.435,0.431
009462,0.1648,0.2019,0.508,0.563
009463,0.1688,0.1979,0.5,0.56
009465,0.1545,0.2012,0.46,0.559
009466,0.155,0.1997,0.46,0.551
009467,0.1494,0.1867,0.462,0.535
009468,0.1494,0.2012,0.458,0.559
009469,0.1471,0.1866,0.469,0.534
009470,0.1474,0.2012,0.47,0.559
009471,0.1726,0.1806,0.474,0.521
009472,0.1788,,0.469,
009473,0.1735,,0.473,
009474,0.1778,0.2012,0.478,0.55
009475,0.1723,0.1997,0.544,0.551
009480,0.1658,0.1815,0.384,0.374
009481,0.1519,0.1414,0.58,0.595
009482,0.1859,0.1781,0.346,0.372
009483,0.182,0.1822,0.33,0.356
009484,0.18,0.1822,0.334,0.356
009485,0.1539,0.1866,0.358,0.378
009486,0.1446,0.1593,0.384,0.444
009487,0.1753,0.1897,0.476,0.452
009491,0.1409,0.1607,0.391,0.346
009492,0.1409,0.1579,0.391,0.387
009493,0.1399,0.1607,0.395,0.346
009494,0.1223,0.1607,0.407,0.346
009495,0.1444,0.1379,0.576,0.596
009498,0.1149,0.078,0.517,0.543
009499,0.109,0.1819,0.513,0.439
009500,0.1129,0.1819,0.503,0.439
009501,0.0936,0.078,0.493,0.543
009503,0.2045,0.1404,0.421,0.479
009504,0.2089,0.1404,0.42,0.479
009508,0.1407,0.1451,0.861,0.914
009509,0.1407,0.1468,0.861,0.918
009510,0.1505,0.1451,0.838,0.914
009511,0.1499,0.1364,0.838,0.84
009512,0.1419,0.1468,0.863,0.918
009513,0.1403,0.1451,0.86,0.914
009514,0.1424,0.1396,0.863,0.922
009515,0.1462,0.1397,0.476,0.48
009516,0.1463,0.1397,0.475,0.48
009520,0.1452,0.1617,0.763,0.793
009521,0.1467,0.1237,0.759,0.827
009522,0.1524,0.1617,0.786,0.793
009524,0.1767,0.1717,0.583,0.807
009534,0.1715,0.1818,0.42,0.393
009536,0.098,0.1459,0.57,0.48
009537,0.1924,0.193,1.046,0.815
009538,0.1946,0.1646,0.468,0.566
009539,0.194,0.1935,0.551,0.649
009540,0.1516,0.1354,0.839,0.839
009541,0.1633,0.1997,0.522,0.551
009543,0.1283,0.1607,0.404,0.346
009544,0.166,0.1358,0.379,0.469
009546,0.1627,0.1851,0.428,0.431
009548,0.1579,0.2012,0.483,0.559
009549,0.1354,0.1634,0.394,0.349
009550,0.1473,0.1579,0.407,0.387
009551,0.166,0.1532,0.382,0.388
009554,0.1521,0.1862,0.61,0.781
009555,0.1855,0.1397,0.492,0.48
009557,0.1498,,0.463,
009558,0.1343,0.1512,0.773,0.83
009563,0.132,0.2027,0.723,0.61
009564,0.1321,0.204,0.719,0.609
009566,0.0,,0.28,
009568,0.1352,0.183,0.362,0.332
009569,0.1865,0.1681,0.398,0.411
009570,0.1073,0.1846,0.711,0.807
009572,0.1659,0.1366,0.463,0.455
009573,0.1741,0.1366,0.455,0.455
009574,0.1713,0.1366,0.454,0.455
009575,0.1715,0.1366,0.453,0.455
009576,0.1588,0.1268,0.449,0.463
009577,0.1619,0.1997,0.543,0.551
009578,0.1609,0.1997,0.544,0.551
009581,0.1519,0.1468,0.836,0.918
009582,0.166,0.1884,0.372,0.403
009584,0.1911,0.2042,0.525,0.62
009587,0.1373,0.1369,0.771,0.763
009588,0.1508,0.1535,0.773,0.804
009592,0.1371,0.1643,0.437,0.409
009625,0.1485,0.1781,0.383,0.372
009631,0.1308,,0.457,
009652,0.1745,0.1646,0.433,0.566
009659,0.19,0.1397,0.38,0.48
009667,0.0992,0.1846,0.703,0.807
009675,0.1795,,0.88,
009676,0.1894,0.0,1.007,0.79
009684,0.1798,0.153,0.477,0.395
009685,0.181,0.153,0.471,0.395
009691,0.1477,0.171,0.625,0.685
009692,0.1447,0.1669,0.612,0.685
009693,0.1565,0.1663,0.745,0.675
009698,0.1473,0.1814,0.769,0.85
009699,0.147,0.1553,0.77,0.808
009704,0.1605,0.1832,0.35,0.357
009705,0.1526,0.1604,0.348,0.447
009706,0.1433,0.1548,0.353,0.45
009707,0.1751,0.1822,0.343,0.356
009708,0.1791,0.1822,0.326,0.356
009715,0.1492,0.2385,0.51,0.362
009716,0.1736,0.2385,0.469,0.362
009717,0.154,0.2109,0.49,0.448
009718,0.1612,0.2109,0.478,0.448
009719,0.175,0.2109,0.453,0.448
009728,0.1249,0.213,0.383,0.348
009729,0.1222,0.1781,0.383,0.372
009730,0.1416,0.1517,0.776,0.804
009743,0.1524,0.1702,0.782,0.845
011313,0.1579,0.1791,0.438,0.391
011320,0.159,0.1862,0.615,0.781
011321,0.155,0.1862,0.611,0.781
011322,0.152,0.1486,0.61,0.599
011495,0.1329,0.1553,0.761,0.801
011715,0.1324,0.1445,0.403,0.338
011723,0.1821,0.1665,0.475,0.383
011725,0.183,0.1445,0.473,0.338
011726,0.1781,0.1916,0.476,0.448
011762,0.1174,0.1541,0.534,0.557
011773,0.1246,0.1445,0.411,0.338
016532,0.1289,0.1441,0.557,0.524
016725,0.1346,0.1177,0.468,0.436
016727,0.1071,0.1846,0.711,0.807
019313,0.1722,0.1781,0.352,0.372
019314,0.1675,0.1781,0.349,0.372
019316,0.1748,0.1822,0.315,0.356
022005,0.1698,0.1736,0.404,0.388
036678,0.1434,0.1517,0.776,0.804
038671,0.1463,0.1635,0.423,0.41
038673,0.1487,0.1635,0.424,0.41
038674,0.15,0.1635,0.425,0.41
038675,0.1503,0.1575,0.426,0.423
038678,0.1505,0.1635,0.424,0.41
038680,0.1497,0.1635,0.425,0.41
038682,0.1473,0.1635,0.426,0.41
038683,0.1478,0.1635,0.421,0.41
038686,0.1421,0.1635,0.438,0.41
038687,0.1508,0.1644,0.424,0.409
038692,0.1488,0.1635,0.424,0.41
038717,0.1755,0.1913,0.961,0.808
038791,0.154,0.1356,0.459,0.472
040525,0.1759,0.1674,0.496,0.38
040526,0.1759,,0.496,
040608,0.1119,0.078,0.513,0.543
040609,0.1345,0.1391,0.39,0.39
040612,0.1384,0.1415,0.463,0.447
040761,0.1167,0.1703,0.509,0.405
040762,0.122,0.1717,0.49,0.409
040763,0.1221,0.1703,0.489,0.405
040789,0.1505,0.1428,0.58,0.6
041071,0.1489,0.1654,0.606,0.621
041092,0.1682,0.1336,0.389,0.556
041093,0.16,0.1378,0.408,0.398
041094,0.1342,0.1378,0.395,0.398
041095,0.1341,0.1424,0.392,0.39
041209,0.1662,0.2133,0.699,0.391
042933,0.1721,0.1927,0.575,0.565
042934,0.0528,,0.337,
043192,0.1967,0.1781,0.409,0.372
043193,0.201,0.1781,0.387,0.372
043331,0.1523,0.1982,0.351,0.333
043341,0.1797,0.1792,0.43,0.43
043342,0.1843,0.1244,0.432,0.468
043343,0.1453,0.151,0.761,0.842
043548,0.1828,0.1822,0.33,0.356
043554,0.1839,0.1798,0.349,0.367
043555,0.2138,0.1805,0.379,0.366
043556,0.2207,0.1802,0.349,0.367
