stop_id,mean_price
007877,0.78
007878,0.78
007879,0.639
007881,0.658
007883,0.658
007884,0.813
007885,0.814
007897,0.694
007898,0.694
007900,0.787
007913,0.392
007914,0.392
007919,0.448
007923,0.388
007924,0.375
007927,0.4
007928,0.4
007930,0.551
007931,0.553
007949,0.749
007950,0.601
007967,0.694
007968,0.419
007973,0.807
007974,0.807
007975,0.807
007976,0.807
007977,0.807
007978,0.807
007979,0.809
007980,0.682
007995,0.45
008020,0.516
008021,0.516
008022,0.516
008023,0.516
008024,0.516
008025,0.516
008026,0.516
008028,0.516
008029,0.516
008030,0.516
008036,0.564
008037,0.564
008040,0.807
008041,0.807
008047,0.432
008050,0.751
008051,0.791
008067,0.392
008087,0.804
008090,0.807
008093,0.372
008094,0.388
008095,0.371
008096,0.388
008098,0.529
008106,0.551
008109,0.378
008110,0.381
008111,0.314
008112,0.377
008113,0.377
008114,0.378
008115,0.572
008116,0.576
008119,0.381
008124,0.528
008125,0.576
008126,0.528
008127,0.576
008128,0.551
008132,0.599
008146,0.597
008147,0.606
008148,0.596
008149,0.565
008152,0.632
008153,0.629
008155,0.545
008156,0.446
008164,0.516
008165,0.516
008168,0.391
008169,0.391
008170,0.135
008206,0.595
008209,0.6
008218,0.813
008222,0.516
008238,0.798
008239,0.634
008240,0.357
008241,0.594
008242,0.594
008243,0.446
008245,0.49
008246,0.418
008260,0.829
008261,0.83
008262,0.606
008265,0.545
008269,0.637
008270,0.637
008272,0.545
008280,
008283,0.48
008284,0.48
008286,0.554
008287,0.566
008289,0.48
008336,0.455
008337,0.455
008341,0.462
008344,0.783
008353,0.437
008379,0.472
008380,0.472
008382,0.516
008383,0.516
008399,0.377
008402,0.612
008403,0.61
008404,0.613
008405,0.613
008406,0.614
008407,0.61
008408,0.61
008409,0.618
008410,0.609
008411,0.612
008412,0.658
008426,0.48
008440,0.403
008455,0.798
008458,0.6
008459,0.6
008460,0.636
008461,0.6
008481,0.304
008490,0.405
008491,0.392
008498,0.5
008499,0.5
008500,0.422
008501,0.57
008519,0.683
008521,0.714
008535,0.454
008544,0.675
008545,0.599
008546,0.391
008559,0.752
008560,0.729
008567,0.754
008569,0.455
008575,0.404
008577,0.389
008587,0.387
008588,0.387
008589,0.5
008590,0.816
008591,0.816
008593,0.807
008605,0.683
008644,0.455
008645,0.455
008692,0.444
008694,
008697,0.564
008702,0.666
008708,0.455
008725,0.599
008731,0.806
008736,0.76
008737,0.76
008750,0.813
008754,0.377
008782,0.782
008785,0.599
008788,0.349
008789,0.532
008792,1.001
008793,0.513
008832,0.411
008841,0.48
008842,0.48
008844,0.57
008850,0.401
008863,0.433
008893,0.448
008894,0.362
008895,0.363
008896,0.363
008898,0.403
008903,0.44
008904,0.397
008910,0.488
008911,0.487
008918,0.425
008921,0.388
008922,0.386
008923,0.441
008924,0.441
008939,0.617
008943,0.56
008946,0.434
008947,0.434
008948,0.372
008949,0.377
008950,0.375
008952,0.396
008953,0.326
008954,0.326
008955,0.326
008956,0.326
008957,0.326
008958,0.326
008959,0.303
008960,0.355
008963,0.355
008967,0.332
008971,0.406
009025,0.697
009026,0.809
009039,0.736
009041,0.357
009042,0.545
