stop_id,cultural_institutions,drugstores,groceries,healthcare,parks,religious_organizations,restaurants,schools,services,costing,range,total
1471146,5,6,19,3,135,4,82,33,34,public_transport,,321
1471147,4,3,10,1,116,3,33,26,20,public_transport,,216
1471149,2,7,19,3,117,4,84,32,37,public_transport,,305
1471150,5,7,22,3,181,5,90,43,38,public_transport,,394
1471151,1,4,11,1,89,3,37,26,23,public_transport,,195
1471152,5,6,20,3,156,4,86,37,35,public_transport,,352
1471153,5,7,21,3,161,4,88,38,36,public_transport,,363
1471154,4,3,11,1,122,3,35,28,20,public_transport,,227
1471155,5,7,20,3,147,4,86,34,35,public_transport,,341
1471156,3,7,25,3,101,5,84,31,39,public_transport,,298
1471157,3,7,25,3,106,6,84,34,39,public_transport,,307
1471158,5,8,28,3,153,5,92,37,40,public_transport,,371
1471159,5,10,35,3,206,6,110,45,45,public_transport,,465
1471160,5,10,37,3,222,7,111,46,48,public_transport,,489
1471161,1,3,9,1,85,4,32,26,20,public_transport,,181
1471164,3,8,27,3,115,6,88,36,40,public_transport,,326
1471171,4,5,27,2,146,6,82,32,36,public_transport,,340
1471172,5,8,33,3,196,7,95,49,43,public_transport,,439
1471173,5,7,22,3,187,5,90,44,38,public_transport,,401
1471174,5,7,30,3,187,6,92,44,40,public_transport,,414
1471175,5,8,37,3,205,9,105,54,46,public_transport,,472
1471176,5,8,37,3,208,10,105,55,46,public_transport,,477
1471177,2,0,3,0,62,0,4,12,2,public_transport,,85
1471178,3,2,9,0,93,3,25,16,18,public_transport,,169
1471179,5,11,37,3,231,7,111,46,51,public_transport,,502
1471180,3,2,10,0,120,4,25,23,20,public_transport,,207
1471181,6,10,36,3,221,6,111,48,46,public_transport,,487
1471182,4,6,20,3,135,4,83,34,34,public_transport,,323
1471183,2,1,6,0,76,1,20,13,13,public_transport,,132
1471184,5,7,21,3,159,5,87,39,35,public_transport,,361
1471185,5,7,22,3,166,4,89,40,36,public_transport,,372
1471186,5,8,32,3,190,6,95,43,41,public_transport,,423
1471193,2,2,8,0,54,2,22,11,16,public_transport,,117
1471195,3,3,10,1,79,2,33,19,20,public_transport,,170
1471197,4,5,27,2,146,6,82,32,36,public_transport,,340
1472100,2,7,20,3,107,4,84,25,37,public_transport,,289
1472101,2,8,23,3,158,5,89,41,39,public_transport,,368
1472102,2,8,25,3,174,6,93,42,39,public_transport,,392
1472104,1,4,11,1,87,3,36,17,22,public_transport,,182
1472105,1,4,11,1,75,3,36,14,22,public_transport,,167
1472106,0,3,8,0,61,2,26,10,18,public_transport,,128
1472107,1,4,10,1,72,2,35,21,19,public_transport,,165
1472108,0,3,9,0,68,3,26,11,18,public_transport,,138
1472109,0,3,8,0,65,2,26,12,18,public_transport,,134
1472110,1,4,11,1,88,3,36,17,22,public_transport,,183
1472111,0,3,9,0,68,3,26,11,18,public_transport,,138
