stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name
1310128,4.276,0.7059,44,2.507,5.742,10.864,12,5,17,4,162,12,112,30,91,445,2,2,7,1,109,3,33,17,15,189,3.027,1.2489999999999997,1.2271766803916885e-05,0.003430531732418525,0.06427010124622413,0.005712532939028771,14,60.15729,24.87399,Hevosenkenkäpuisto
1310146,3.618,0.7902,39,0.924,5.981,10.999,12,5,18,4,146,12,114,32,94,437,2,2,5,1,80,2,32,11,15,150,2.038,1.58,5.516341067816499e-06,0.0025728987993138934,0.06419908455976422,0.005648956274917659,7,60.15126,24.88587,Nahkahousuntie
1310200,3.003,0.6476,30,0.97,6.058,11.069,9,3,8,4,130,4,61,23,32,274,2,2,5,0,72,2,25,10,14,132,1.893,1.11,5.516341067816499e-06,0.0025728987993138934,0.06419908455976422,0.005648956274917659,7,60.150452,24.886015,Nahkahousuntie
1310133,2.682,0.5675,25,0.476,6.099,11.136,8,3,7,2,121,3,45,17,16,222,2,2,5,0,80,2,30,10,13,144,2.077,0.605,1.0865156187602604e-06,0.0017152658662092624,0.06037636031028434,0.0005789591950414874,8,60.15089,24.88264,Melkonkatu
1310134,3.221,0.598,28,0.758,5.989,11.037,8,3,8,2,130,3,46,17,17,234,2,2,6,1,94,3,35,12,16,171,2.317,0.9039999999999999,2.944721962852135e-07,0.0017152658662092624,0.056980504610980844,1.1778649725042146e-05,9,60.15206,24.88245,Melkonkatu
1310137,3.624,0.7297,34,1.071,6.216,11.252,12,5,17,4,146,12,112,30,90,428,1,2,5,0,72,2,27,10,7,126,1.995,1.629,1.024665698774453e-06,0.0017152658662092624,0.06035440869120306,0.001690236235543548,10,60.149985,24.881588,Melkonkuja
1310101,4.919,0.8152,60,1.82,4.875,9.945,25,7,25,5,174,14,217,36,150,653,7,3,6,2,90,3,37,15,16,179,2.305,2.6139999999999994,0.0022433453524888175,0.003430531732418525,0.08589617316171884,0.037009947700691895,13,60.16126,24.89056,Lauttasaaren silta
1310102,6.618,0.8776,102,3.115,4.871,9.937,55,20,60,6,214,22,549,49,288,1263,7,3,6,3,91,2,36,15,17,180,2.322,4.296,0.0022433453524888175,0.003430531732418525,0.08589617316171884,0.037009947700691895,13,60.16113,24.89116,Lauttasaaren silta
1310139,4.469,0.8257,57,1.306,4.851,9.917,25,7,25,5,160,14,217,36,149,638,7,3,6,3,90,2,37,15,16,179,2.341,2.128,0.0022433453524888175,0.003430531732418525,0.08589617316171884,0.037009947700691895,13,60.16131,24.89126,Lauttasaaren silta
1310140,2.618,0.6343,21,0.636,5.214,10.289,9,3,8,4,123,4,60,20,32,263,5,2,6,1,110,3,36,14,16,193,2.572,0.04599999999999982,0.000423743359540813,0.0017152658662092624,0.0791717265470963,0.0053313604095045946,17,60.158869,24.886624,Pajalahdentie
1310103,4.276,0.7059,44,2.507,5.113,10.214,12,5,17,4,162,12,112,30,91,445,5,2,6,1,98,3,35,15,15,180,2.513,1.763,0.0004259024647999686,0.0017152658662092624,0.07924191424793592,0.010664024883800175,18,60.16068,24.88418,Koillisväylä
1201131,6.161,0.8803,101,2.447,4.326,9.304,49,17,41,6,204,20,488,47,235,1107,14,2,5,6,63,3,52,21,37,203,2.492,3.6689999999999996,0.011419748796292456,0.004288164665523156,0.09364198811602324,0.04032445272221773,995,60.16338,24.9044,Salmisaari
1201132,8.869,0.8307,164,4.832,4.313,9.284,104,24,88,10,298,51,833,76,485,1969,15,2,8,6,64,3,52,20,38,208,2.504,6.365,0.011419748796292456,0.004288164665523156,0.09364198811602324,0.04032445272221773,995,60.16338,24.90505,Salmisaari
1310205,4.428,0.8306,49,1.357,5.548,10.677,19,6,22,4,161,12,142,35,104,505,2,2,7,1,103,3,32,16,15,181,2.961,1.467,3.252288991730427e-05,0.0017152658662092624,0.06860739390280052,0.0036758641795486997,22,60.159182,24.8747,Lahnalahden p.
1310111,3.316,0.6947,29,1.429,5.987,11.123,8,3,8,2,128,3,43,17,17,229,1,2,7,0,78,3,26,11,12,140,2.736,0.5799999999999996,2.270423343107688e-06,0.0017152658662092624,0.06041716999593055,0.0011592154437729352,24,60.1568,24.86791,Kuikkarinne
1310112,3.916,0.6966,43,1.39,5.955,11.091,9,3,9,4,147,4,62,23,33,294,1,2,7,0,86,3,29,14,14,156,2.82,1.096,2.270423343107688e-06,0.0017152658662092624,0.06041716999593055,0.0011592154437729352,24,60.15688,24.86863,Kuikkarinne
1310124,2.643,0.8291,19,0.818,5.507,10.657,9,3,8,4,102,4,54,19,32,235,1,2,5,1,81,2,20,12,12,136,2.83,-0.18700000000000028,3.1404814386012334e-05,0.0017152658662092624,0.06858714617705892,0.007365582294726381,15,60.16161,24.8697,Lahnalahdentie
1310225,4.619,0.8428,54,1.385,5.496,10.644,25,7,25,5,165,14,217,36,150,644,2,2,6,1,85,3,22,12,12,145,2.885,1.734,3.1404814386012334e-05,0.0017152658662092624,0.06858714617705892,0.007365582294726381,15,60.1614,24.87051,Lahnalahdentie
1310105,4.32,0.7102,46,2.507,5.27,10.39,12,5,17,4,162,12,112,30,91,445,2,2,7,1,94,3,31,16,15,171,2.717,1.6030000000000002,0.0001721727333790254,0.004288164665523156,0.07359575847309724,0.01976990968650282,20,60.16055,24.87946,Lauttasaarentie
1310106,5.216,0.8468,66,1.75,5.239,10.35,33,15,32,5,173,14,388,36,182,878,2,2,6,1,96,3,33,16,15,174,2.656,2.56,0.0001721727333790254,0.004288164665523156,0.07359575847309724,0.01976990968650282,20,60.160291,24.881229,Lauttasaarentie
1310601,10.698,0.7006,218,7.742,5.407,10.524,139,28,111,16,318,68,1067,97,585,2429,2,2,6,1,107,3,32,17,15,185,2.812,7.886000000000001,0.007651007371862252,0.0017152658662092624,0.09325121824345818,0.001712321203778002,19,60.159362,24.87857,Lauttasaari
1310602,5.024,0.8402,104,2.171,5.402,10.519,73,20,67,5,163,30,668,44,349,1419,2,2,6,1,106,3,32,16,15,183,2.827,2.197,0.007651007371862252,0.0017152658662092624,0.09325121824345818,0.001712321203778002,19,60.159443,24.8785,Lauttasaari
