stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1201131,8.914,0.8211,55,5.705,4.326,9.304,93,24,84,10,301,49,814,70,476,1921,14,2,5,6,63,3,52,21,37,203,2.492,6.422,0.0114197487962924,0.0042881646655231,0.0936419881160232,0.0403244527222177,995,60.16338,24.9044,Salmisaari,579,0.324577,0.309273,41539.0,45979.0
1310205,4.409,0.8012,27,1.623,5.548,10.677,24,6,23,4,162,13,215,36,154,637,2,2,7,1,103,3,32,16,15,181,2.961,1.448,3.252288991730427e-05,0.0017152658662092,0.0686073939028005,0.0036758641795486,22,60.159182,24.8747,Lahnalahden p.,1183,0.298137,0.305851,48559.0,46723.0
1310111,3.905,0.6783,26,1.93,5.987,11.123,8,3,11,4,150,3,65,27,36,307,1,2,7,0,78,3,26,11,12,140,2.736,1.1689999999999996,2.270423343107688e-06,0.0017152658662092,0.0604171699959305,0.0011592154437729,24,60.1568,24.86791,Kuikkarinne,1154,0.298944,0.300159,48324.0,48105.0
1310124,4.409,0.8015,28,1.623,5.507,10.657,24,6,23,4,162,13,215,36,154,637,1,2,5,1,81,2,20,12,12,136,2.83,1.5789999999999995,3.1404814386012334e-05,0.0017152658662092,0.0685871461770589,0.0073655822947263,15,60.16161,24.8697,Lahnalahdentie,1165,0.304901,0.306357,46584.0,46481.0
1310105,5.032,0.7824,32,2.003,5.27,10.39,29,10,30,4,174,14,314,37,170,782,2,2,7,1,94,3,31,16,15,171,2.717,2.315,0.000172172733379,0.0042881646655231,0.0735957584730972,0.0197699096865028,20,60.16055,24.87946,Lauttasaarentie,1150,0.298845,0.303876,48356.0,47215.0
1310601,10.39,0.699,59,7.348,5.407,10.524,132,28,106,14,317,67,1045,95,584,2388,2,2,6,1,107,3,32,17,15,185,2.812,7.578000000000001,0.0076510073718622,0.0017152658662092,0.0932512182434581,0.001712321203778,19,60.159362,24.87857,Lauttasaari,1186,0.296501,0.317886,49037.0,42232.0
1201107,15.096,0.6983,98,15.638,4.198,9.012,143,33,126,15,466,72,1133,116,631,2735,29,5,19,5,89,12,163,28,136,486,3.072,12.024,0.0420463722977382,0.0051457975986277,0.1028321619939586,0.0507591277253872,1000,60.162674,24.916438,Selkämerenkatu,572,0.323014,0.316896,41959.0,43044.0
1310126,3.434,0.6247,22,1.447,5.402,10.537,8,3,8,2,136,3,45,17,17,239,2,2,7,1,88,3,30,14,16,163,2.95,0.484,3.252288991730427e-05,0.0017152658662092,0.0686073939028005,0.0036758641795486,21,60.16071,24.87498,Lahnalahden puisto,1166,0.301271,0.297838,47644.0,48772.0
1310113,3.839,0.6639,25,1.92,6.099,11.243,8,3,11,4,150,3,65,27,36,307,1,2,6,0,69,3,24,10,9,124,2.481,1.358,6.035837268846404e-07,0.0017152658662092,0.0570000701722619,2.441615932586861e-05,25,60.15688,24.86445,Takaniementie,1156,0.301952,0.303436,47445.0,47163.0
1310115,3.815,0.6823,22,2.267,6.021,11.176,8,3,11,4,150,3,65,27,36,307,0,0,2,0,52,1,6,7,2,70,2.278,1.537,1.1523478118157576e-06,0.0017152658662092,0.0603857730359991,0.0005815708301739,26,60.15934,24.86085,Viklakuja,1158,0.308138,0.305788,45639.0,46488.0
